32, 199
29, 496
1, 990
54, 48
12, 325
20, 353
30, 318
2, 640
6, 170
3, 778
74, 291
41, 357
65, 230
51, 279
53, 908
27, 484
75, 442
42, 222
33, 755
28, 247
70, 231
50, 86
52, 418
14, 175
63, 184
7, 138
57, 495
8, 358
64, 459
26, 121
10, 376
19, 294
69, 45
60, 246
24, 99
4, 921
58, 258
25, 390
23, 825
22, 430
11, 444
35, 792
13, 236
49, 445
59, 387
5, 83
31, 188
15, 159
62, 195
43, 996
67, 133
61, 70
16, 147
39, 961
40, 222
21, 91
38, 495
46, 339
72, 299
34, 123
44, 305
45, 155
68, 655
56, 281
55, 521
36, 218
66, 563
17, 880
71, 47
47, 201
37, 240
9, 145
73, 69
48, 404
18, 131
