1, 234
519, 368
788, 37
1164, 336
774, 214
599, 234
491, 221
1195, 585
1470, 126
1377, 97
228, 475
332, 112
190, 220
227, 276
980, 516
1305, 453
297, 61
605, 229
1106, 935
24, 994
928, 306
859, 284
204, 374
561, 522
160, 204
416, 81
23, 112
891, 300
981, 72
815, 371
253, 94
916, 705
1282, 433
1429, 302
39, 957
843, 623
112, 173
791, 682
372, 392
34, 683
590, 525
137, 87
55, 313
323, 547
17, 154
243, 80
172, 200
333, 225
363, 287
1296, 524
550, 143
341, 180
664, 90
912, 115
598, 473
1318, 212
14, 469
613, 115
1052, 501
643, 462
1121, 209
167, 71
1556, 528
96, 865
456, 904
510, 99
1078, 527
257, 166
19, 198
673, 964
1502, 946
925, 504
197, 153
1545, 641
401, 97
276, 92
778, 73
21, 209
83, 420
244, 874
582, 267
1043, 242
868, 185
558, 129
1540, 390
871, 83
545, 382
3, 608
81, 176
987, 45
1516, 166
964, 681
751, 110
1070, 414
1169, 400
1493, 48
1019, 774
1334, 616
303, 590
1434, 628
1210, 76
704, 681
1468, 29
117, 145
1166, 269
1050, 183
1423, 492
1542, 960
499, 31
1432, 366
852, 451
1145, 179
176, 331
182, 128
1199, 998
1231, 270
894, 65
1083, 138
554, 369
623, 257
249, 203
485, 114
1239, 931
636, 71
1290, 199
346, 70
1220, 107
1149, 159
542, 570
966, 380
638, 384
1223, 114
389, 223
219, 97
559, 188
1288, 468
1132, 311
1212, 389
203, 203
1313, 522
157, 180
799, 331
1110, 124
1049, 449
1460, 178
793, 387
57, 189
165, 273
876, 968
1075, 60
1162, 135
1267, 295
973, 190
885, 480
1271, 87
200, 53
1158, 63
1085, 773
641, 756
428, 291
1425, 586
1074, 425
1356, 215
273, 895
772, 247
734, 330
1361, 668
717, 122
822, 728
1552, 328
1135, 217
1011, 563
583, 111
61, 248
247, 226
835, 327
385, 335
457, 206
611, 624
1179, 222
992, 388
56, 339
528, 252
438, 472
723, 298
1285, 123
264, 129
1081, 119
1178, 371
