32, 382
109, 204
1, 199
54, 40
29, 187
101, 271
81, 132
2, 400
78, 340
74, 323
41, 462
65, 207
53, 201
51, 313
119, 820
27, 201
75, 444
42, 115
33, 70
28, 405
50, 294
52, 116
111, 113
63, 38
121, 106
115, 567
92, 767
88, 819
93, 583
26, 189
10, 329
120, 909
77, 27
24, 913
87, 392
117, 201
58, 66
25, 378
114, 355
23, 328
49, 139
89, 749
5, 212
31, 230
62, 629
122, 415
43, 557
90, 482
39, 881
112, 968
34, 367
44, 162
94, 188
55, 393
86, 485
126, 64
17, 98
71, 741
47, 163
9, 52
73, 181
82, 60
12, 181
79, 790
20, 143
6, 115
84, 270
104, 552
80, 228
125, 38
124, 305
98, 608
113, 211
110, 670
70, 421
14, 929
127, 173
7, 276
123, 644
96, 227
57, 252
8, 685
64, 96
19, 211
107, 199
102, 29
69, 220
60, 203
97, 321
4, 120
22, 131
11, 272
13, 720
67, 417
15, 960
118, 597
108, 745
16, 734
100, 277
21, 753
38, 249
46, 209
72, 696
83, 173
45, 73
128, 222
56, 278
116, 76
68, 249
36, 132
66, 421
95, 337
76, 837
85, 173
48, 442
18, 198
103, 162
30, 482
3, 236
